product_id,year,month,date,units_sold,price_per_unit,sales_dollars,product_name
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,1,2023-01-01,375,29.27,10976.25,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,2,2023-02-01,97,63.77,6185.69,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,3,2023-03-01,86,31.72,2727.92,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,4,2023-04-01,423,17.45,7381.35,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,5,2023-05-01,442,33.01,14590.42,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,6,2023-06-01,237,167.2,39626.4,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,7,2023-07-01,320,175.52,56166.4,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,8,2023-08-01,403,167.16,67365.48,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,9,2023-09-01,303,164.47,49834.41,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,10,2023-10-01,483,117.84,56916.72,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,11,2023-11-01,467,80.5,37593.5,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2023,12,2023-12-01,336,149.49,50228.64,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,1,2024-01-01,240,197.18,47323.2,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,2,2024-02-01,167,49.44,8256.48,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,3,2024-03-01,254,159.84,40599.36,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,4,2024-04-01,92,59.72,5494.24,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,5,2024-05-01,138,124.68,17205.84,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,6,2024-06-01,144,189.27,27254.88,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,7,2024-07-01,222,149.14,33109.08,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,8,2024-08-01,224,128.47,28777.28,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,9,2024-09-01,72,41.1,2959.2,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,10,2024-10-01,242,138.46,33507.32,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,11,2024-11-01,237,154.67,36656.79,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2024,12,2024-12-01,179,117.95,21113.05,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,1,2025-01-01,66,164.13,10832.58,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,2,2025-02-01,120,77.55,9306.0,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,3,2025-03-01,393,26.85,10552.05,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,4,2025-04-01,359,45.06,16176.54,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,5,2025-05-01,107,183.21,19603.47,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,6,2025-06-01,313,26.48,8288.24,"¾"" Copper Type L Pipe"
5907236a-3330-43e1-b0bb-85a959e9a14a,2025,7,2025-07-01,492,107.85,53062.2,"¾"" Copper Type L Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,1,2023-01-01,380,36.95,14041.0,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,2,2023-02-01,438,58.79,25750.02,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,3,2023-03-01,183,32.26,5903.58,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,4,2023-04-01,484,102.6,49658.4,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,5,2023-05-01,158,195.02,30813.16,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,6,2023-06-01,135,116.13,15677.55,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,7,2023-07-01,62,80.58,4995.96,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,8,2023-08-01,204,18.67,3808.68,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,9,2023-09-01,375,96.82,36307.5,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,10,2023-10-01,202,49.74,10047.48,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,11,2023-11-01,372,107.84,40116.48,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2023,12,2023-12-01,236,45.11,10645.96,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2024,1,2024-01-01,164,154.97,25415.08,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2024,2,2024-02-01,177,117.87,20862.99,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2024,3,2024-03-01,175,48.73,8527.75,"1 ½"" PVC Schedule 40 Pipe"
da2b4f58-e06e-4474-9031-705812d05ed5,2024,4,2024-04-01,85,28.07,2385.95,"1 ½"" PVC Schedule 40 Pipe"
