Product Name,Short Description,Longer Description
"¾"" Copper Type L Pipe",Rigid copper tubing for potable water and hydronic systems,"¾"" Copper Type L Pipe provides a reliable solution for plumbing and mechanical systems. Rigid copper tubing for potable water and hydronic systems It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential."
"1 ½"" PVC Schedule 40 Pipe","Lightweight, solvent-weld pipe for residential drain, waste, vent","1 ½"" PVC Schedule 40 Pipe provides a reliable solution for plumbing and mechanical systems. Lightweight, solvent-weld pipe for residential drain, waste, vent It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential."
"½"" PEX-A Tubing (Red)",Flexible cross-linked polyethylene for hot-water runs,"½"" PEX-A Tubing (Red) provides a reliable solution for plumbing and mechanical systems. Flexible cross-linked polyethylene for hot-water runs It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential."
PEX Crimp Ring Tool,Hand tool for securing copper crimp rings on PEX joints,"PEX Crimp Ring Tool is a professional-grade tool built for plumbing or construction work. Hand tool for securing copper crimp rings on PEX joints It offers durability, precision, and ease of use, making jobs faster and more efficient."
"¾"" SharkBite Push-Fit Coupling","No-sweat brass connector for copper, CPVC, or PEX","¾"" SharkBite Push-Fit Coupling is a trusted product in the plumbing and HVAC trade. No-sweat brass connector for copper, CPVC, or PEX It offers proven reliability, making it a staple for contractors and facility managers."
"1"" CPVC Ball Valve",Corrosion-resistant shut-off for chemical or hot-water lines,"1"" CPVC Ball Valve is designed to regulate or stop the flow of liquids or gases. Corrosion-resistant shut-off for chemical or hot-water lines Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems."
"10"" Rough-In Two-Piece Toilet",Standard gravity-flush vitreous china bowl and tank set,"10"" Rough-In Two-Piece Toilet is a key fixture for kitchens or bathrooms. Standard gravity-flush vitreous china bowl and tank set Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
Elongated Soft-Close Toilet Seat,Quiet-closing polypropylene seat with quick-release hinges,"Elongated Soft-Close Toilet Seat is a key fixture for kitchens or bathrooms. Quiet-closing polypropylene seat with quick-release hinges Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
"30"" Undermount Stainless Kitchen Sink","18-gauge, double-bowl basin for quartz or stone tops","30"" Undermount Stainless Kitchen Sink is a key fixture for kitchens or bathrooms. 18-gauge, double-bowl basin for quartz or stone tops Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
"Pull-Down Kitchen Faucet, Brushed Nickel",Single-handle faucet with 3-function sprayer,"Pull-Down Kitchen Faucet, Brushed Nickel is a key fixture for kitchens or bathrooms. Single-handle faucet with 3-function sprayer Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
"8"" Widespread Bathroom Faucet, Chrome","Metal lever handles, WaterSense-rated at 1.2 gpm","8"" Widespread Bathroom Faucet, Chrome is a key fixture for kitchens or bathrooms. Metal lever handles, WaterSense-rated at 1.2 gpm Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
"36"" Frameless Glass Shower Door",Clear tempered glass with reversible chrome hinges,"36"" Frameless Glass Shower Door is a key fixture for kitchens or bathrooms. Clear tempered glass with reversible chrome hinges Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
Pressure-Balanced Shower Valve,Maintains outlet temperature despite pressure fluctuations,"Pressure-Balanced Shower Valve is designed to regulate or stop the flow of liquids or gases. Maintains outlet temperature despite pressure fluctuations Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems."
"2.5 gpm Rain Showerhead, 8""",Full-spray brass head with rubber nozzles for easy cleaning,"2.5 gpm Rain Showerhead, 8"" is a key fixture for kitchens or bathrooms. Full-spray brass head with rubber nozzles for easy cleaning Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects."
40-Gallons Natural Gas Water Heater,"Atmospheric vent, 40 k BTU, 6-year tank warranty","40-Gallons Natural Gas Water Heater offers dependable water or space heating. Atmospheric vent, 40 k BTU, 6-year tank warranty It balances energy efficiency with consistent performance, making it a trusted choice for modern households."
50-Gallons Electric Heat-Pump Water Heater,ENERGY STAR-rated hybrid with Wi-Fi diagnostics,"50-Gallons Electric Heat-Pump Water Heater offers dependable water or space heating. ENERGY STAR-rated hybrid with Wi-Fi diagnostics It balances energy efficiency with consistent performance, making it a trusted choice for modern households."
3-Ton 16-SEER Split Heat Pump,"R-410A refrigerant, scroll compressor, outdoor condenser","3-Ton 16-SEER Split Heat Pump offers dependable water or space heating. R-410A refrigerant, scroll compressor, outdoor condenser It balances energy efficiency with consistent performance, making it a trusted choice for modern households."
"14"" x 20"" Pleated Air Filter (MERV 11)",High-capacity filter for residential HVAC returns,"14"" x 20"" Pleated Air Filter (MERV 11) improves water quality by removing impurities. High-capacity filter for residential HVAC returns Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use."
Smart Wi-Fi Thermostat,"Learning algorithm, geofencing, and Alexa/Google compatibility","Smart Wi-Fi Thermostat is a trusted product in the plumbing and HVAC trade. Learning algorithm, geofencing, and Alexa/Google compatibility It offers proven reliability, making it a staple for contractors and facility managers."
"4"" Round Backdraft Damper",Spring-loaded galvanized damper for exhaust fans and HRVs,"4"" Round Backdraft Damper enhances HVAC performance by improving airflow control or energy efficiency. Spring-loaded galvanized damper for exhaust fans and HRVs Designed for compatibility with standard systems, it reduces energy loss and noise."
"14"" Insulated Flexible Duct",R-6 fiberglass-lined duct for supply or return air,"14"" Insulated Flexible Duct enhances HVAC performance by improving airflow control or energy efficiency. R-6 fiberglass-lined duct for supply or return air Designed for compatibility with standard systems, it reduces energy loss and noise."
"½"" Black Steel Pipe, 21' Length","Schedule 40, UL-listed for natural gas piping","½"" Black Steel Pipe, 21' Length provides a reliable solution for plumbing and mechanical systems. Schedule 40, UL-listed for natural gas piping It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential."
"1"" 90° Malleable Iron Elbow","Threaded fitting for steam, air, or oil lines","1"" 90° Malleable Iron Elbow is a trusted product in the plumbing and HVAC trade. Threaded fitting for steam, air, or oil lines It offers proven reliability, making it a staple for contractors and facility managers."
"250-psi Brass Pressure Gauge, 2""",Bottom-mount gauge for hydronic or air service,"250-psi Brass Pressure Gauge, 2"" is a trusted product in the plumbing and HVAC trade. Bottom-mount gauge for hydronic or air service It offers proven reliability, making it a staple for contractors and facility managers."
"¾"" Lead-Free Brass PRV","Pressure-reducing valve, factory-set at 50 psi","¾"" Lead-Free Brass PRV is a trusted product in the plumbing and HVAC trade. Pressure-reducing valve, factory-set at 50 psi It offers proven reliability, making it a staple for contractors and facility managers."
"½"" Solder Copper Tee",Dezincification-resistant tee for potable supply branches,"½"" Solder Copper Tee is a trusted product in the plumbing and HVAC trade. Dezincification-resistant tee for potable supply branches It offers proven reliability, making it a staple for contractors and facility managers."
"500-ft Fish Tape, Steel",Pulling wire through conduit runs up to 150 m,"500-ft Fish Tape, Steel is a trusted product in the plumbing and HVAC trade. Pulling wire through conduit runs up to 150 m It offers proven reliability, making it a staple for contractors and facility managers."
"12/2 NM-B Romex Cable, 250 ft",Non-metallic sheathed copper cable for 20-A circuits,"12/2 NM-B Romex Cable, 250 ft supports safe and efficient electrical installations. Non-metallic sheathed copper cable for 20-A circuits Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability."
"4"" Square Steel Electrical Box, 1½"" Deep",Gangable box for commercial branch wiring,"4"" Square Steel Electrical Box, 1½"" Deep supports safe and efficient electrical installations. Gangable box for commercial branch wiring Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability."
"GFCI Duplex Receptacle, 20 A, White","Self-test, tamper-resistant, weather-resistant","GFCI Duplex Receptacle, 20 A, White supports safe and efficient electrical installations. Self-test, tamper-resistant, weather-resistant Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability."
"LED 2x4 Flat-Panel Troffer, 4000 K",40-W dimmable fixture for T-grid ceilings,"LED 2x4 Flat-Panel Troffer, 4000 K is a trusted product in the plumbing and HVAC trade. 40-W dimmable fixture for T-grid ceilings It offers proven reliability, making it a staple for contractors and facility managers."
"6"" LED Recessed Downlight Retrofit",2700–5000 K selectable color temperature,"6"" LED Recessed Downlight Retrofit is a trusted product in the plumbing and HVAC trade. 2700–5000 K selectable color temperature It offers proven reliability, making it a staple for contractors and facility managers."
Occupancy Sensor Wall Switch,"Passive infrared, 180° coverage, vacancy mode option","Occupancy Sensor Wall Switch is a trusted product in the plumbing and HVAC trade. Passive infrared, 180° coverage, vacancy mode option It offers proven reliability, making it a staple for contractors and facility managers."
10-kW Electric Unit Heater,Ceiling-mount shop heater with built-in thermostat,"10-kW Electric Unit Heater is a trusted product in the plumbing and HVAC trade. Ceiling-mount shop heater with built-in thermostat It offers proven reliability, making it a staple for contractors and facility managers."
"1"" HDPE Water Service Pipe, 500 ft Coil",Flexible CTS polyethylene for municipal service,"1"" HDPE Water Service Pipe, 500 ft Coil provides a reliable solution for plumbing and mechanical systems. Flexible CTS polyethylene for municipal service It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential."
"8"" Ductile-Iron Gate Valve",Resilient-seated valve for waterworks distribution,"8"" Ductile-Iron Gate Valve is designed to regulate or stop the flow of liquids or gases. Resilient-seated valve for waterworks distribution Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems."
"¾"" Residential Curb Stop",Bronze ball valve with compression CTS ends,"¾"" Residential Curb Stop is a trusted product in the plumbing and HVAC trade. Bronze ball valve with compression CTS ends It offers proven reliability, making it a staple for contractors and facility managers."
