product_name,short_description,longer_description,product_details,product_id
"¾"" Copper Type L Pipe",Rigid copper tubing for potable water and hydronic systems,"¾"" Copper Type L Pipe provides a reliable solution for plumbing and mechanical systems. Rigid copper tubing for potable water and hydronic systems It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","¾"" Copper Type L Pipe
Rigid copper tubing for potable water and hydronic systems
¾"" Copper Type L Pipe provides a reliable solution for plumbing and mechanical systems. Rigid copper tubing for potable water and hydronic systems It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",5907236a-3330-43e1-b0bb-85a959e9a14a
"1 ½"" PVC Schedule 40 Pipe","Lightweight, solvent-weld pipe for residential drain, waste, vent","1 ½"" PVC Schedule 40 Pipe provides a reliable solution for plumbing and mechanical systems. Lightweight, solvent-weld pipe for residential drain, waste, vent It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","1 ½"" PVC Schedule 40 Pipe
Lightweight, solvent-weld pipe for residential drain, waste, vent
1 ½"" PVC Schedule 40 Pipe provides a reliable solution for plumbing and mechanical systems. Lightweight, solvent-weld pipe for residential drain, waste, vent It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",da2b4f58-e06e-4474-9031-705812d05ed5
"½"" PEX-A Tubing (Red)",Flexible cross-linked polyethylene for hot-water runs,"½"" PEX-A Tubing (Red) provides a reliable solution for plumbing and mechanical systems. Flexible cross-linked polyethylene for hot-water runs It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","½"" PEX-A Tubing (Red)
Flexible cross-linked polyethylene for hot-water runs
½"" PEX-A Tubing (Red) provides a reliable solution for plumbing and mechanical systems. Flexible cross-linked polyethylene for hot-water runs It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",15bd5126-29d0-4fa0-95b2-568b30c169ca
PEX Crimp Ring Tool,Hand tool for securing copper crimp rings on PEX joints,"PEX Crimp Ring Tool is a professional-grade tool built for plumbing or construction work. Hand tool for securing copper crimp rings on PEX joints It offers durability, precision, and ease of use, making jobs faster and more efficient.","PEX Crimp Ring Tool
Hand tool for securing copper crimp rings on PEX joints
PEX Crimp Ring Tool is a professional-grade tool built for plumbing or construction work. Hand tool for securing copper crimp rings on PEX joints It offers durability, precision, and ease of use, making jobs faster and more efficient.",27b009af-172e-4450-955b-8a77e7c6b855
"¾"" SharkBite Push-Fit Coupling","No-sweat brass connector for copper, CPVC, or PEX","¾"" SharkBite Push-Fit Coupling is a trusted product in the plumbing and HVAC trade. No-sweat brass connector for copper, CPVC, or PEX It offers proven reliability, making it a staple for contractors and facility managers.","¾"" SharkBite Push-Fit Coupling
No-sweat brass connector for copper, CPVC, or PEX
¾"" SharkBite Push-Fit Coupling is a trusted product in the plumbing and HVAC trade. No-sweat brass connector for copper, CPVC, or PEX It offers proven reliability, making it a staple for contractors and facility managers.",9d4ec623-c00a-49e7-802a-2cadd2029ceb
"1"" CPVC Ball Valve",Corrosion-resistant shut-off for chemical or hot-water lines,"1"" CPVC Ball Valve is designed to regulate or stop the flow of liquids or gases. Corrosion-resistant shut-off for chemical or hot-water lines Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.","1"" CPVC Ball Valve
Corrosion-resistant shut-off for chemical or hot-water lines
1"" CPVC Ball Valve is designed to regulate or stop the flow of liquids or gases. Corrosion-resistant shut-off for chemical or hot-water lines Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.",425db26e-207e-4842-9bdb-c615a8b4a4f9
"10"" Rough-In Two-Piece Toilet",Standard gravity-flush vitreous china bowl and tank set,"10"" Rough-In Two-Piece Toilet is a key fixture for kitchens or bathrooms. Standard gravity-flush vitreous china bowl and tank set Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","10"" Rough-In Two-Piece Toilet
Standard gravity-flush vitreous china bowl and tank set
10"" Rough-In Two-Piece Toilet is a key fixture for kitchens or bathrooms. Standard gravity-flush vitreous china bowl and tank set Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",1f2ddc39-22a3-4d3a-ae6d-d47eaca20f81
Elongated Soft-Close Toilet Seat,Quiet-closing polypropylene seat with quick-release hinges,"Elongated Soft-Close Toilet Seat is a key fixture for kitchens or bathrooms. Quiet-closing polypropylene seat with quick-release hinges Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","Elongated Soft-Close Toilet Seat
Quiet-closing polypropylene seat with quick-release hinges
Elongated Soft-Close Toilet Seat is a key fixture for kitchens or bathrooms. Quiet-closing polypropylene seat with quick-release hinges Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",a11ee540-ae01-4791-92a2-924f4b4e0a5f
"30"" Undermount Stainless Kitchen Sink","18-gauge, double-bowl basin for quartz or stone tops","30"" Undermount Stainless Kitchen Sink is a key fixture for kitchens or bathrooms. 18-gauge, double-bowl basin for quartz or stone tops Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","30"" Undermount Stainless Kitchen Sink
18-gauge, double-bowl basin for quartz or stone tops
30"" Undermount Stainless Kitchen Sink is a key fixture for kitchens or bathrooms. 18-gauge, double-bowl basin for quartz or stone tops Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",29541992-4c56-46e8-8327-84e5ae45fb81
"Pull-Down Kitchen Faucet, Brushed Nickel",Single-handle faucet with 3-function sprayer,"Pull-Down Kitchen Faucet, Brushed Nickel is a key fixture for kitchens or bathrooms. Single-handle faucet with 3-function sprayer Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","Pull-Down Kitchen Faucet, Brushed Nickel
Single-handle faucet with 3-function sprayer
Pull-Down Kitchen Faucet, Brushed Nickel is a key fixture for kitchens or bathrooms. Single-handle faucet with 3-function sprayer Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",b3829de9-15f0-4653-b1ed-14b69077052c
